timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 15:49:12.515, 87 %, 89 %, 3455 MiB, 64
2026/06/25 15:49:12.617, 86 %, 88 %, 3455 MiB, 64
2026/06/25 15:49:12.719, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:12.843, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:12.945, 88 %, 90 %, 3455 MiB, 65
2026/06/25 15:49:13.047, 88 %, 90 %, 3455 MiB, 65
2026/06/25 15:49:13.149, 86 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:13.252, 86 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:13.354, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:13.455, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:13.557, 88 %, 90 %, 3455 MiB, 65
2026/06/25 15:49:13.658, 88 %, 90 %, 3455 MiB, 65
2026/06/25 15:49:13.760, 87 %, 89 %, 3455 MiB, 66
2026/06/25 15:49:13.862, 87 %, 89 %, 3455 MiB, 66
2026/06/25 15:49:13.964, 85 %, 86 %, 3455 MiB, 66
2026/06/25 15:49:14.065, 85 %, 86 %, 3455 MiB, 66
2026/06/25 15:49:14.167, 87 %, 89 %, 3455 MiB, 66
2026/06/25 15:49:14.269, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:14.371, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:14.473, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:14.576, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:14.680, 87 %, 89 %, 3455 MiB, 65
2026/06/25 15:49:14.782, 85 %, 88 %, 3455 MiB, 66
2026/06/25 15:49:14.883, 85 %, 88 %, 3455 MiB, 
