timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 16:04:32.777, 0 %, 5 %, 3571 MiB, 51
2026/06/25 16:04:32.879, 0 %, 5 %, 3571 MiB, 51
2026/06/25 16:04:32.982, 0 %, 5 %, 3571 MiB, 51
2026/06/25 16:04:33.085, 0 %, 5 %, 3571 MiB, 51
2026/06/25 16:04:33.188, 0 %, 5 %, 3571 MiB, 51
2026/06/25 16:04:33.291, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:33.410, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:33.520, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:33.622, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:33.727, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:33.830, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:33.934, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.037, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.140, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.242, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.345, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.448, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.551, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.653, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.756, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.860, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:34.963, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.066, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.169, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.271, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.374, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.477, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.581, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.683, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.786, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.889, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:35.993, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.096, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.199, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.301, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.405, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.509, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.611, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.713, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.817, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:36.920, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.022, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.126, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.229, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.332, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.434, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.536, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.639, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.741, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.844, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:37.947, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.050, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.161, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.263, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.367, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.470, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.573, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.676, 0 %, 0 %, 3571 MiB, 51
2026/06/25 16:04:38.779, 0 %, 0 %, 3575 MiB, 51
2026/06/25 16:04:38.883, 13 %, 9 %, 3575 MiB, 51
2026/06/25 16:04:38.988, 13 %, 9 %, 3575 MiB, 51
2026/06/25 16:04:39.092, 100 %, 72 %, 3575 MiB, 51
2026/06/25 16:04:39.200, 75 %, 62 %, 3575 MiB, 51
2026/06/25 16:04:39.305, 75 %, 62 %, 3575 MiB, 51
2026/06/25 16:04:39.407, 87 %, 88 %, 3575 MiB, 51
2026/06/25 16:04:39.529, 87 %, 88 %, 3575 MiB, 61
2026/06/25 16:04:39.631, 86 %, 88 %, 3575 MiB, 61
2026/06/25 16:04:39.736, 86 %, 88 %, 3575 MiB, 61
2026/06/25 16:04:39.838, 85 %, 87 %, 3575 MiB, 61
2026/06/25 16:04:39.943, 85 %, 87 %, 3575 MiB, 61
2026/06/25 16:04:40.045, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.147, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.250, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.354, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.456, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.558, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.660, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.762, 85 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.864, 86 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:40.966, 86 %, 87 %, 3575 MiB, 62
2026/06/25 16:04:41.068, 84 %, 86 %, 3575 MiB, 63
2026/06/25 16:04:41.170, 84 %, 86 %, 3575 MiB, 63
2026/06/25 16:04:41.272, 86 %, 88 %, 3575 MiB, 63
2026/06/25 16:04:41.373, 86 %, 88 %, 3575 MiB, 63
2026/06/25 16:04:41.475, 85 %, 86 %, 3575 MiB, 63
2026/06/25 16:04:41.577, 85 %, 86 %, 3575 MiB, 63
2026/06/25 16:04:41.679, 87 %, 89 %, 3575 MiB, 63
2026/06/25 16:04:41.782, 87 %, 89 %, 3575 MiB, 63
2026/06/25 16:04:41.885, 86 %, 88 %, 3575 MiB, 63
